Series;Time;Value
commoncicd;2020-02-01T16:38:30+05:30;null
commoncicd;2020-02-01T16:39:00+05:30;null
commoncicd;2020-02-01T16:39:30+05:30;null
commoncicd;2020-02-01T16:40:00+05:30;null
commoncicd;2020-02-01T16:40:30+05:30;null
commoncicd;2020-02-01T16:41:00+05:30;null
commoncicd;2020-02-01T16:41:30+05:30;null
commoncicd;2020-02-01T16:42:00+05:30;null
commoncicd;2020-02-01T16:42:30+05:30;null
commoncicd;2020-02-01T16:43:00+05:30;null
commoncicd;2020-02-01T16:43:30+05:30;null
commoncicd;2020-02-01T16:44:00+05:30;null
commoncicd;2020-02-01T16:44:30+05:30;null
commoncicd;2020-02-01T16:45:00+05:30;null
commoncicd;2020-02-01T16:45:30+05:30;null
commoncicd;2020-02-01T16:46:00+05:30;null
commoncicd;2020-02-01T16:46:30+05:30;null
commoncicd;2020-02-01T16:47:00+05:30;null
commoncicd;2020-02-01T16:47:30+05:30;null
commoncicd;2020-02-01T16:48:00+05:30;null
commoncicd;2020-02-01T16:48:30+05:30;null
commoncicd;2020-02-01T16:49:00+05:30;null
commoncicd;2020-02-01T16:49:30+05:30;null
commoncicd;2020-02-01T16:50:00+05:30;null
commoncicd;2020-02-01T16:50:30+05:30;null
commoncicd;2020-02-01T16:51:00+05:30;null
commoncicd;2020-02-01T16:51:30+05:30;null
commoncicd;2020-02-01T16:52:00+05:30;null
commoncicd;2020-02-01T16:52:30+05:30;null
commoncicd;2020-02-01T16:53:00+05:30;null
commoncicd;2020-02-01T16:53:30+05:30;null
commoncicd;2020-02-01T16:54:00+05:30;null
commoncicd;2020-02-01T16:54:30+05:30;null
commoncicd;2020-02-01T16:55:00+05:30;null
commoncicd;2020-02-01T16:55:30+05:30;null
commoncicd;2020-02-01T16:56:00+05:30;null
commoncicd;2020-02-01T16:56:30+05:30;null
commoncicd;2020-02-01T16:57:00+05:30;null
commoncicd;2020-02-01T16:57:30+05:30;null
commoncicd;2020-02-01T16:58:00+05:30;null
commoncicd;2020-02-01T16:58:30+05:30;null
commoncicd;2020-02-01T16:59:00+05:30;null
commoncicd;2020-02-01T16:59:30+05:30;null
commoncicd;2020-02-01T17:00:00+05:30;null
commoncicd;2020-02-01T17:00:30+05:30;null
commoncicd;2020-02-01T17:01:00+05:30;null
commoncicd;2020-02-01T17:01:30+05:30;null
commoncicd;2020-02-01T17:02:00+05:30;null
commoncicd;2020-02-01T17:02:30+05:30;null
commoncicd;2020-02-01T17:03:00+05:30;null
commoncicd;2020-02-01T17:03:30+05:30;null
commoncicd;2020-02-01T17:04:00+05:30;null
commoncicd;2020-02-01T17:04:30+05:30;null
commoncicd;2020-02-01T17:05:00+05:30;null
commoncicd;2020-02-01T17:05:30+05:30;null
commoncicd;2020-02-01T17:06:00+05:30;null
commoncicd;2020-02-01T17:06:30+05:30;0.05492568931512398
commoncicd;2020-02-01T17:07:00+05:30;0.08367779050778276
commoncicd;2020-02-01T17:07:30+05:30;0.09553955732499998
commoncicd;2020-02-01T17:08:00+05:30;0.1499233687288889
commoncicd;2020-02-01T17:08:30+05:30;0.22709350172499998
commoncicd;2020-02-01T17:09:00+05:30;0.2681824084035
commoncicd;2020-02-01T17:09:30+05:30;0.34135435348277776
commoncicd;2020-02-01T17:10:00+05:30;0.39923963468190476
commoncicd;2020-02-01T17:10:30+05:30;0.40676044367445463
commoncicd;2020-02-01T17:11:00+05:30;0.45392913854956624
commoncicd;2020-02-01T17:11:30+05:30;0.4484811374977515
commoncicd;2020-02-01T17:12:00+05:30;0.36290788155929904
commoncicd;2020-02-01T17:12:30+05:30;0.3380833604217971
commoncicd;2020-02-01T17:13:00+05:30;0.2911841791467916
commoncicd;2020-02-01T17:13:30+05:30;0.33573955109668496
commoncicd;2020-02-01T17:14:00+05:30;0.31144602810440075
commoncicd;2020-02-01T17:14:30+05:30;0.31939295921111116
commoncicd;2020-02-01T17:15:00+05:30;0.3003753124195316
commoncicd;2020-02-01T17:15:30+05:30;0.29519946911205175
commoncicd;2020-02-01T17:16:00+05:30;0.13391942466499998
commoncicd;2020-02-01T17:16:30+05:30;0.13391942466499998
commoncicd;2020-02-01T17:17:00+05:30;0.13391942466499998
commoncicd;2020-02-01T17:17:30+05:30;0.1375634400313761
default;2020-02-01T16:17:30+05:30;null
default;2020-02-01T16:18:00+05:30;null
default;2020-02-01T16:18:30+05:30;null
default;2020-02-01T16:19:00+05:30;null
default;2020-02-01T16:19:30+05:30;null
default;2020-02-01T16:20:00+05:30;null
default;2020-02-01T16:20:30+05:30;null
default;2020-02-01T16:21:00+05:30;null
default;2020-02-01T16:21:30+05:30;null
default;2020-02-01T16:22:00+05:30;null
default;2020-02-01T16:22:30+05:30;null
default;2020-02-01T16:23:00+05:30;null
default;2020-02-01T16:23:30+05:30;null
default;2020-02-01T16:24:00+05:30;null
default;2020-02-01T16:24:30+05:30;null
default;2020-02-01T16:25:00+05:30;null
default;2020-02-01T16:25:30+05:30;null
default;2020-02-01T16:26:00+05:30;null
default;2020-02-01T16:26:30+05:30;null
default;2020-02-01T16:27:00+05:30;null
default;2020-02-01T16:27:30+05:30;null
default;2020-02-01T16:28:00+05:30;null
default;2020-02-01T16:28:30+05:30;null
default;2020-02-01T16:29:00+05:30;null
default;2020-02-01T16:29:30+05:30;null
default;2020-02-01T16:30:00+05:30;null
default;2020-02-01T16:30:30+05:30;null
default;2020-02-01T16:31:00+05:30;null
default;2020-02-01T16:31:30+05:30;null
default;2020-02-01T16:32:00+05:30;null
default;2020-02-01T16:32:30+05:30;null
default;2020-02-01T16:33:00+05:30;null
default;2020-02-01T16:33:30+05:30;null
default;2020-02-01T16:34:00+05:30;null
default;2020-02-01T16:34:30+05:30;null
default;2020-02-01T16:35:00+05:30;null
default;2020-02-01T16:35:30+05:30;null
default;2020-02-01T16:36:00+05:30;null
default;2020-02-01T16:36:30+05:30;null
default;2020-02-01T16:37:00+05:30;null
default;2020-02-01T16:37:30+05:30;null
default;2020-02-01T16:38:00+05:30;null
default;2020-02-01T16:38:30+05:30;null
default;2020-02-01T16:39:00+05:30;null
default;2020-02-01T16:39:30+05:30;null
default;2020-02-01T16:40:00+05:30;null
default;2020-02-01T16:40:30+05:30;null
default;2020-02-01T16:41:00+05:30;null
default;2020-02-01T16:41:30+05:30;null
default;2020-02-01T16:42:00+05:30;null
default;2020-02-01T16:42:30+05:30;null
default;2020-02-01T16:43:00+05:30;null
default;2020-02-01T16:43:30+05:30;null
default;2020-02-01T16:44:00+05:30;null
default;2020-02-01T16:44:30+05:30;null
default;2020-02-01T16:45:00+05:30;null
